date,open,high,low,close,volume
1/1/2018 0:00,6.3,6.31,6.17,6.21,2280500
1/2/2018 0:00,6.13,6.54,6.13,6.49,18297000
1/3/2018 0:00,6.49,6.99,6.4,6.75,47374000
1/4/2018 0:00,6.75,7.05,6.75,6.95,34058000
1/5/2018 0:00,6.99,7.04,6.81,6.86,11516000
1/8/2018 0:00,6.89,7.04,6.85,6.89,10975500
1/9/2018 0:00,6.92,6.92,6.63,6.69,5839000
1/10/2018 0:00,6.75,6.95,6.69,6.92,6485500
1/11/2018 0:00,6.6,6.75,6.48,6.67,18787000
1/12/2018 0:00,6.69,6.71,6.48,6.52,4317000
1/15/2018 0:00,6.5,6.52,6.36,6.4,3567000
1/16/2018 0:00,6.44,6.45,6.29,6.32,4114500
1/17/2018 0:00,6.35,6.4,6.19,6.26,6457000
1/18/2018 0:00,6.3,6.4,6.28,6.34,5775500
1/19/2018 0:00,6.35,6.57,6.31,6.51,4072000
1/22/2018 0:00,6.51,6.71,6.4,6.54,8728000
1/23/2018 0:00,6.55,6.55,6.43,6.5,5518500
1/24/2018 0:00,6.52,6.71,6.49,6.57,5918000
1/25/2018 0:00,6.55,6.92,6.55,6.78,13935500
1/26/2018 0:00,6.76,7.07,6.62,6.89,39164000
1/29/2018 0:00,6.85,6.89,6.71,6.73,2129000
1/30/2018 0:00,6.7,6.85,6.7,6.76,2481500
1/31/2018 0:00,6.79,6.8,6.63,6.68,3957000
2/1/2018 0:00,6.69,6.78,6.63,6.73,2421500
2/2/2018 0:00,6.75,6.95,6.72,6.88,12430000
2/6/2018 0:00,6.8,6.81,6.59,6.73,9683000
2/7/2018 0:00,6.72,6.86,6.65,6.68,4350000
2/8/2018 0:00,6.68,6.73,6.61,6.65,2430000
2/9/2018 0:00,6.61,6.7,6.58,6.66,5254000
2/12/2018 0:00,6.7,6.84,6.61,6.63,8647000
2/13/2018 0:00,6.65,6.7,6.54,6.56,3206000
2/14/2018 0:00,6.55,6.56,6.3,6.38,10670000
2/15/2018 0:00,6.49,6.49,6.2,6.26,7745500
2/16/2018 0:00,6.3,6.49,6.25,6.43,3302000
2/19/2018 0:00,6.45,6.45,6.33,6.35,1534500
2/20/2018 0:00,6.36,6.4,6.31,6.35,2263000
2/21/2018 0:00,6.36,6.42,6.22,6.25,8038000
2/22/2018 0:00,6.25,6.38,6.15,6.32,4590500
2/23/2018 0:00,6.35,6.38,6.17,6.2,6564000
2/26/2018 0:00,6.25,6.25,6.11,6.14,1355500
2/27/2018 0:00,6.19,6.25,6.12,6.2,4162000
2/28/2018 0:00,6.16,6.25,6.16,6.21,534000
3/1/2018 0:00,6.2,6.47,6.2,6.43,4690000
3/2/2018 0:00,6.4,6.54,6.35,6.38,8943500
3/5/2018 0:00,6.38,6.42,6.28,6.31,1369500
3/6/2018 0:00,6.35,6.37,6.26,6.26,1744500
3/7/2018 0:00,6.25,6.33,6.25,6.29,1708000
3/8/2018 0:00,6.3,6.3,6.15,6.17,9032000
3/9/2018 0:00,6.17,6.24,6.15,6.17,666500
3/12/2018 0:00,6.13,6.26,6.13,6.24,2255500
3/13/2018 0:00,6.26,6.28,6.2,6.25,807500
3/14/2018 0:00,6.21,6.3,6.21,6.28,1219000
3/15/2018 0:00,6.25,6.41,6.25,6.31,2699000
3/16/2018 0:00,6.32,6.4,6.25,6.26,2330000
3/19/2018 0:00,6.28,6.33,6.2,6.22,2239500
3/20/2018 0:00,6.25,6.36,6.21,6.26,5397500
3/21/2018 0:00,6.26,6.4,6.26,6.3,4567500
3/22/2018 0:00,6.32,6.48,6.29,6.31,8689000
3/26/2018 0:00,6.3,6.49,6.3,6.32,8051000
3/27/2018 0:00,6.45,6.7,6.45,6.57,30279500
3/28/2018 0:00,6.63,6.79,6.6,6.75,22616000
3/29/2018 0:00,6.79,7.02,6.7,6.99,50510000
3/30/2018 0:00,7.06,7.19,6.96,7.01,23825000
4/2/2018 0:00,7.17,7.17,6.85,6.88,9276500
4/3/2018 0:00,6.93,7.18,6.8,6.96,27817000
4/4/2018 0:00,7.03,7.15,6.95,6.99,12784500
4/5/2018 0:00,7.03,7.05,6.93,7,6235000
4/6/2018 0:00,7.04,7.14,6.9,6.91,4905000
4/9/2018 0:00,6.95,6.95,6.82,6.84,3339000
4/10/2018 0:00,6.82,6.9,6.76,6.88,3853000
4/11/2018 0:00,6.9,6.98,6.81,6.87,4773500
4/12/2018 0:00,6.9,7.14,6.81,7.06,47541000
4/13/2018 0:00,7.2,7.28,7.07,7.11,36158500
4/16/2018 0:00,7.15,7.15,6.98,7.04,10271500
4/17/2018 0:00,7.09,7.13,7,7.1,5260500
4/18/2018 0:00,7.1,7.12,6.95,7,11228000
4/19/2018 0:00,6.95,7,6.79,6.9,12119500
4/20/2018 0:00,6.85,7,6.78,6.87,4207000
4/23/2018 0:00,6.86,7.09,6.85,6.95,4725000
4/24/2018 0:00,6.99,7.05,6.83,6.85,3926000
4/25/2018 0:00,6.91,6.91,6.71,6.83,4203000
4/26/2018 0:00,6.85,6.9,6.71,6.75,4169500
4/27/2018 0:00,6.73,6.8,6.64,6.68,6353500
4/30/2018 0:00,6.7,6.74,6.6,6.71,4084000
5/2/2018 0:00,6.74,6.76,6.65,6.71,767000
5/3/2018 0:00,6.71,6.74,6.55,6.56,3482000
5/4/2018 0:00,6.57,6.69,6.53,6.66,2219000
5/7/2018 0:00,6.62,6.65,6.54,6.56,1889500
5/8/2018 0:00,6.6,6.66,6.55,6.56,3157500
5/9/2018 0:00,6.6,6.75,6.44,6.49,3483500
5/10/2018 0:00,6.5,6.55,6.36,6.39,4296500
5/11/2018 0:00,6.35,6.44,6.24,6.28,5461500
5/14/2018 0:00,6.28,6.28,5.9,5.98,12065500
5/15/2018 0:00,6.05,6.13,5.88,6.05,6177000
5/16/2018 0:00,6.1,6.19,6.02,6.07,2598500
5/17/2018 0:00,6.07,6.16,6.07,6.12,4834500
5/18/2018 0:00,6.17,6.17,6,6.01,5874500
5/21/2018 0:00,6.03,6.08,6,6,1419000
5/22/2018 0:00,6,6.14,6,6.12,2341500
5/23/2018 0:00,6.11,6.15,6.02,6.12,1442500
5/24/2018 0:00,6.14,6.14,6.01,6.05,5095500
5/25/2018 0:00,6.06,6.06,5.81,5.89,6619000
5/28/2018 0:00,5.9,6,5.85,5.88,4891500
5/29/2018 0:00,5.81,6.02,5.81,5.99,4736500
5/30/2018 0:00,6,6.05,5.89,6,4749500
5/31/2018 0:00,6.03,6.03,5.91,5.94,1153500
