Commodity Item,Unit,City,"Dec., 2021  Prices (Rs.)","Sept.,2021  Prices (Rs.)"," Dec., 2020 Prices (Rs.)","% Change in Dec, 2021 Over Sept., 2021","% Change in Dec, 2021 Over Dec., 2020"
,,KAR,1664.07,4800.00,2526.54,·65.33,-34.14
,,HYO,1530.34,4743.34,3065.24,-67.74,-50.07
,,SKR,2800.00,4000.00,2400.00,·30.00,16.67
,,LRK,2200.00,5332.49,4262.41,·58.74,-48.39
,,MPK,1000.00,4000.00,2800.00,-75.00,-64.29
,,PSH,3200.00,4250.63,3297.03,-24.72,-2.94
,,BNU,2600.00,4400.00,2400.00,-40.91,8.33
,,QTA,2239.05,4239.50,3039.30,-47.19,-26.33
"Peas (Matar), (Average Quality)",40 kg,LAH,3616.59,0.00,2132.82,,69.57
,,FAS,3183.25,7457.36,2051.97,-57.31,55.13
,,RAW,3249.74,6599.49,1949.57,-50.76,66.69
,,GUJ,3600.00,8800.00,2400.00,-59.09,50.00
,,SKT,3412.51,8433.20,2000.00,-59.53,70.63
,,KAR,3728.68,9864.85,2264.74,-62.20,64.64
,,SKR,3200.00,5400.00,2400.00,-40.74,33.33
,,MPK,4000.00,7200.00,3200.00,-44.44,25.00
,,PSH,3728.68,5200.00,3728.68,-28.29,0.00
,,BNU,3200.00,4800.00,2000.00,-33.33,60.00
,,QTA,7679.72,9439.77,6079.65,-18.65,26.32
"Turnip (Shalgham), (Average  Qualtty)",40 kg,LAH,1016.40,1800.00,416.02,-43.53,144.32
,,FAS,825.82,1263.27,493.24,-34.63,67.43
,,RAW,1024.80,1426.52,698.81,-28.16,46.65
,,MUL,1129.24,2131.20,0.00,-47.01,
,,SKT,1118.60,1972.97,720.00,-43.30,55.36
,,KAR,1664.07,1664.07,1062.66,0.00,56.59
,,SKR,1010.62,1318.81,560.00,-23.37,80.47
,,PSH,1000.00,1530.34,861.77,-34.66,16.04
,,QTA,877.57,1678.73,1278.33,-47.72,-31.35
"carrot (Gajar), (Average Quality)",40 kg,LAH,1216.44,0.00,1200.00,,1.37
,,FAS,958.28,1159.78,1062.66,-17.37,-9.82
,,RAW,1224.83,2323.24,1299.36,-47.28,-5.74
,,MUL,1329.88,1930.98,0.00,-31.13,
,,GUJ,1600.00,2400.00,2000.00,-33.33,-20.00
,,SAR,886.62,0.00,1686.64,,-47.43
,,SKT,1040.00,1864.34,1400.00,-44.22,-25.71
,,KAR,1263.27,1864.34,1864.34,-32.24,-32.24
,,SKR,960.00,1200.00,1440.00,-20.00,-33.33
,,MPK,1120.00,1520.00,1300.00,-26.32,-13.85
,,PSH,1648.51,2000.00,1530.34,-17.57,7.72
,,QTA,1278.33,1838.84,2078.97,-30.48,-38.51
"Garlic (Lehsun), (Average Quality)",40 kg,LAH,6805.19,6702.17,7244.74,1.54,-6.07
,,FAS,8998.52,8998.52,8062.84,0.00,11.60
,,RAW,8412.94,8377.72,5399.38,0.42,55.81
,,SAR,10373.32,10373.32,7773.99,0.00,33.44
,,SKT,10400.00,10400.00,7200.00,0.00,44.44
,,KAR,7330.94,7330.94,11460.56,0.00,-36.03
,,HYO,5932.58,5932.58,10163.96,0.00,-41.63
,,SKR,10264.92,10132.89,7000.00,1.30,46.64
,,PSH,10531.66,10264.92,7200.00,2.60,46.27
,,QTA,11598.85,11598.85,10798.77,0.00,7.41
"Onions (PiaZ), Dry, (Average Quality)",40 kg,LAH,886.62,1233.11,1432.57,-28.10,-38.11
,,FAS,1263.27,1263.27,1263.27,0.00,0.00
,,RAW,1299.36,1643.00,1649A9,-20.92,-21.23
,,MUL,1129.24,1530.34,1730.70,-26.21,-34.75
,,GUJ,1232.45,1600.00,2000.00,-22.97,-38.38
,,SAH,1297.43,1582.09,1549.46,-17.99,-16.27
,,SAR,1053.17,1186.63,1729.94,-11.25,-39.12
,,SKT,1100.00,1146.06,1600.00,-4.02,-31.25
,,BPR,1200.00,1916.52,1600.00,-37.39,-25.00
,,KSR,1248.05,1616.50,1632.66,-22.79,-23.56
,,KAR,1013.16,1263.27,1263.27,-19.80,-19.80
,,HYO,765.17,965.49,1062.66,·20.75,·27.99
,,SKR,1463.72,1263.27,1200.00,15.87,21.98
,,LRK,1200.00,1730.70,2131.20,·30.66,-43.69
,,MPK,800.00,800.00,1000.00,0.00,·20.00
,,NWB,993.29,1513.30,1665.99,-34.36,-40.38
,,PSH,1530.34,1730.70,2000.00,-11.58,-23.48
,,BNU,1440.00,1450.00,1800.00,-0.69,-20.00
,,QTA,1438.52,1438.52,1838.84,0.00,-21.77
"Raddish (Mooli), (Average Quality)",40 kg,RAW,674.69,682.92,582.85,-1.21,15.76
,,MUL,928.32,1730.70,531.33,-46.36,74.72
,,GUJ,928.32,1200.00,600.00,-22.64,54.72
,,SAR,480.00,859.88,403.31,-44.18,19.02
,,SKT,720.00,1200.00,640.00,-40.00,12.50
,,KAR,1062.66,1062.66,861.77,0.00,23.31
,,MPK,1200.00,1520.00,600.00,-21.05,100.00
,,PSH,1000.00,1320.77,861.77,-24.29,16.04
"Brinjal (Baingun), (Average Quality)",40 kg,LAH,1232.45,1600.00,833.00,-22.97,47.95
,,FAS,1062.66,986.48,861.77,7.72,23.31
,,MUL,928.32,1864.34,1263.27,-50.21,-26.51
,,SAR,909.89,1679.94,1226.63,-45.84,-25.82
,,SKT,1360.00,2200.00,1000.00,-38.18,36.00
,,KAR,1062.66,1062.66,861.77,0.00,23.31
,,SKR,612.14,960.00,640.00,-36.24,-4.35
,,MPK,880.00,880.00,800.00,0.00,10.00
,,PSH,1320.77,1129.24,1129.24,16.96,16.96
,,BNU,1600.00,1520.00,1000.00,5.26,60.00
,,QTA,2078.97,2078.97,1758.79,0.00,18.20
